t,u1,u2,zT1,zT2
0.0775,0.0,1.0,3.778037058344698e-07,9.789350154540803e-07
0.07775,0.0,1.0,3.711746716324976e-07,9.400301471162321e-07
0.078,0.0,1.0,3.669633584893569e-07,9.363245673870245e-07
0.07825,0.0,1.0,3.4350352478083594e-07,9.296464945211608e-07
0.0785,0.0,1.0,3.5201618330132924e-07,9.255967491884323e-07
0.07875,0.0,1.0,3.5188063628124265e-07,9.319684283086507e-07
0.079,0.0,1.0,3.920632871600769e-07,8.877482295356895e-07
0.07925,0.0,1.0,3.682015556237465e-07,9.217894355770372e-07
0.0795,0.0,1.0,3.5753181308572726e-07,9.570345675875048e-07
0.07975,0.0,1.0,3.969817203424073e-07,9.004669474744795e-07
0.08,0.0,1.0,3.4289203543804075e-07,1.0323508398400834e-06
0.08025,0.0,1.0,3.7164072705011783e-07,9.426420208893293e-07
0.0805,0.0,1.0,3.947449370868439e-07,9.585771754749508e-07
0.08075,0.0,1.0,3.73739429922153e-07,9.708754899267021e-07
0.081,0.0,1.0,3.4736289907867903e-07,9.7624616789081e-07
0.08125,0.0,1.0,3.459157199732643e-07,8.986708920731047e-07
0.0815,0.0,1.0,3.2313357912825876e-07,9.276141648652955e-07
0.08175,0.0,1.0,3.204385364596895e-07,8.9015094773603e-07
0.082,0.0,1.0,3.214952603200184e-07,9.213195832717155e-07
0.08225,0.0,1.0,3.001456399311812e-07,8.864757867016124e-07
0.0825,0.0,1.0,3.261665955350919e-07,8.696830939848157e-07
0.08275,0.0,1.0,3.1646811405422955e-07,8.412600271130723e-07
0.083,0.0,1.0,3.0459951096180955e-07,8.902605247133467e-07
0.08325,0.0,1.0,3.317397928267433e-07,8.612777536759065e-07
0.0835,0.0,1.0,2.6095581925581634e-07,8.819472175504894e-07
0.08375,0.0,1.0,2.739622646005028e-07,8.865214234113266e-07
0.084,0.0,1.0,2.8058764098429375e-07,8.95733329566293e-07
0.08425,0.0,1.0,2.6242516078626704e-07,8.353259727534308e-07
0.0845,0.0,1.0,3.005489881583846e-07,9.002274080034113e-07
0.08475,0.0,1.0,2.2680324469079855e-07,8.761755727819226e-07
0.085,0.0,1.0,2.6697831928256306e-07,8.432774874689259e-07
0.08525,0.0,1.0,2.4413640123486385e-07,8.299522393643685e-07
0.0855,0.0,1.0,2.3285767115778165e-07,8.213806962157338e-07
0.08575,0.0,1.0,2.142571664852368e-07,8.289031296220245e-07
0.08600000000000001,0.0,1.0,2.2562041977196456e-07,8.23190714220876e-07
0.08625000000000001,0.0,1.0,2.3512446447535597e-07,8.34881431297254e-07
0.08650000000000001,0.0,1.0,2.7811107031406876e-07,8.613133263659329e-07
0.08675000000000001,0.0,1.0,1.757676812147241e-07,7.914275116362911e-07
0.08700000000000001,0.0,1.0,2.1860870052881013e-07,7.647715415505498e-07
0.08725000000000001,0.0,1.0,2.36456982542722e-07,7.575419893654974e-07
0.08750000000000001,0.0,1.0,2.446439762256216e-07,7.782977771955434e-07
0.08775000000000001,0.0,1.0,2.165984708973072e-07,7.673349107610715e-07
0.088,0.0,1.0,2.2687606937330583e-07,7.386772157967331e-07
0.08825,0.0,1.0,2.2459853776585876e-07,7.697328394794606e-07
0.0885,0.0,1.0,2.3248620118464233e-07,7.8007727189398e-07
0.08875,0.0,1.0,2.581882103069338e-07,8.098160081348053e-07
0.089,0.0,1.0,2.3574673695582307e-07,7.833853182144991e-07
0.08925,0.0,1.0,2.1712567743733007e-07,7.474297507691327e-07
0.0895,0.0,1.0,2.0983964325420232e-07,7.739520175584864e-07
0.08975,0.0,1.0,1.4891175972538838e-07,8.651166042317802e-07
0.09,0.0,1.0,2.5714052870658895e-07,7.892487412905827e-07
0.09025,0.0,1.0,1.9658915943696639e-07,7.533118275971577e-07
0.0905,0.0,1.0,2.3837648907046257e-07,7.353160008100974e-07
0.09075,0.0,1.0,1.629226156384363e-07,8.044587866190393e-07
0.091,0.0,1.0,1.8838867108641685e-07,7.344153279135929e-07
0.09125,0.0,1.0,1.885437265586018e-07,7.875520526661998e-07
0.0915,0.0,1.0,2.688010385258618e-07,7.430468545111189e-07
0.09175,0.0,1.0,2.3815703666334324e-07,8.023780713524779e-07
0.092,0.0,1.0,1.7438379252778554e-07,7.851696122284912e-07
0.09225,0.0,1.0,2.4463119130987966e-07,8.054885796610439e-07
0.0925,0.0,1.0,2.517009183547448e-07,7.712564970014765e-07
0.09275,0.0,1.0,2.409588868838955e-07,8.442910380334264e-07
0.093,0.0,1.0,2.7093120089695317e-07,8.0223371662186e-07
0.09325,0.0,1.0,2.792734013451154e-07,8.269145436606899e-07
0.0935,0.0,1.0,2.591918473770721e-07,8.327296367721619e-07
0.09375,0.0,1.0,2.800275134604298e-07,7.617272140382058e-07
0.094,0.0,1.0,2.1992956572983974e-07,8.182861610304955e-07
0.09425,0.0,1.0,2.507440020365964e-07,8.582916961247484e-07
0.0945,0.0,1.0,2.667181012477952e-07,8.487784036699415e-07
0.09475,0.0,1.0,2.7172996514736477e-07,8.145493982644264e-07
0.095,0.0,1.0,2.8115392935912414e-07,8.476119413810791e-07
0.09525,0.0,1.0,2.836417261965673e-07,8.51811273429884e-07
0.0955,0.0,1.0,3.5251021426553467e-07,8.906479144448073e-07
0.09575,0.0,1.0,2.607285492694328e-07,9.351699407860225e-07
0.096,0.0,1.0,3.830328869616964e-07,8.787173203437172e-07
